sword_type,manufacturer,model,price,weight,overall_length,tip_type,link,note
Steel Feder,Viktor Berbekutz,Italian Feder,$270 ,3.2lbs,127cm/50in,Rounded,http://www.woodenswords.com/product_p/feder.vb.italian.htm,
Steel Longsword Simulator,Albion,Liechtenaur,$490 ,3.5lbs,120cm/47.5in,Rounded,http://www.albion-swords.com/swords/albion/maestro/sword-practice-liechtenauer.htm,
Steel Longsword Simulator,Alchem Inc,Fiori Longsword,$275 ,3.5lbs,138cm/54.5in,Rounded,http://www.alcheminc.com/fiori.html,
Steel Longsword Simulator,Arms and Armor,Spada de Zogho Trainer,$440 ,3.2lbs,118cm/46.5in,Rounded,http://arms-n-armor.com/train206.html,
Steel Longsword Simulator,Arms and Armor,Spada de Zogho,$470 ,3.2lbs,118cm/46.5in,Rounded,http://arms-n-armor.com/train205.html,
Steel Longsword Simulator,Audentia,Sword of the Path - XVa,$750 ,3.4lbs,127cm/50in,Rounded,http://store.audentia.eu/product/xva-sword-path/,
Steel Longsword Simulator,Black Fencer,Longsword - Steel Generation,$320 ,3.5lbs,125cm/49in,Thickened,http://www.blackfencer.com/en/home/142-longsword-steel-generation.html,
Steel Longsword Simulator,Black Horse Blades,Eisen Pferd Training Sword,$580 ,3.1lbs,127cm/50in,Thickened,http://www.blackhorseblades.com/hema/eisen-pferd-sword,
Steel Longsword Simulator,Darkwood Armory,Basic Training Longsword,$375 ,3lbs,122cm/48in,Rounded,http://www.darkwoodarmory.com/index.php?main_page=product_info&cPath=2_6&products_id=87,
Steel Longsword Simulator,Castille Armory,XVa Bastard,$410 ,2.75lbs,112cm/44in,Thickened,http://castillearmory.com/all-products/complete-type-xva-arming-sword/,
Steel Longsword Simulator,Chlebowski,Fencing Sword III,$230 ,3.5lbs,130cm/51in,Rolled,http://szymonchlebowski.pl/en_US/products/fencing_sword/,
Steel Longsword Simulator,Danelli Armouries,2016 Longword,$280 ,3.3lbs,132cm/52in,Thickened,http://www.danelliarmouries.com/index.php/basic-swords/48-basic-longsword,Shop Closed
Steel Longsword Simulator,Fabri Armorum,Longsword HEMA,$230 ,3.7lbs,125cm/49in,Custom,http://www.fabri-armorum.com/en/p/longsword-hema/,Rolled and Thickened options
Steel Longsword Simulator,Fabri Armorum,"Longsword ""Bastard"" Training",$170 ,4.1lbs,120cm/47.5in,Rounded,http://www.fabri-armorum.com/en/product/longsword-training/,
Steel Longsword Simulator,Landsknecht Emporium,Blunt Type XVIIIc,$415 ,2.7lbs,118cm/46.6in,Rounded,https://www.etsy.com/listing/519907371/made-to-order-blunt-typexviiic-longsword?ref=shop_home_active_10,
Steel Longsword Simulator,Malleus Martialis,Type XVa Blunt,$450 ,3lbs,126cm/49.5in,Rounded,http://www.wildgeesefencing.com/malleus-martialis-swords/type-xva-blunt?category=Blunt,
Steel Longsword Simulator,Peddling Merchant,XL Longsword,$195 ,2.4lbs,122cm/48in,Button Tip,https://www.facebook.com/pg/WeRollNatural20s/photos/?tab=album&album_id=1872755116374645,
Steel Longsword Simulator,Regenyei,Standard Longsword VII,$400 ,3lbs,120cm/47.5in,Rounded,http://www.regenyei.com/en_blunts_standard.php,
Steel Longsword Simulator,Viktor Berbekutz,HEMA Sword,$190 ,3.5lbs,131cm/51.5in,Rounded,http://www.swordsviktor.com/Feder,
Synthetic Feder,Black Fencer,Federschwert V4,$80 ,3lbs,125cm/49in,Rounded,http://www.blackfencer.com/en/home/21-like-steel-waster-federschwert-v2.html,
